#,Sample flow data,,
#,,,
#,Make sure the site id's match the row labels in the catchment area file.,,
#,,,
,1001,1002,1003a
6/09/1950,-99.99,-99.99,-99.99
7/09/1950,-99.99,-99.99,-99.99
8/09/1950,-99.99,-99.99,-99.99
9/09/1950,-99.99,-99.99,-99.99
10/09/1950,-99.99,-99.99,-99.99
11/09/1950,-99.99,-99.99,-99.99
12/09/1950,-99.99,-99.99,-99.99
13/09/1950,-99.99,-99.99,-99.99
14/09/1950,-99.99,-99.99,-99.99
15/09/1950,-99.99,-99.99,-99.99
16/09/1950,-99.99,-99.99,-99.99
17/09/1950,-99.99,-99.99,-99.99
18/09/1950,-99.99,-99.99,-99.99
19/09/1950,-99.99,-99.99,-99.99
20/09/1950,-99.99,-99.99,-99.99
21/09/1950,-99.99,-99.99,-99.99
22/09/1950,-99.99,-99.99,-99.99
23/09/1950,-99.99,-99.99,-99.99
24/09/1950,-99.99,-99.99,-99.99
25/09/1950,-99.99,-99.99,-99.99
26/09/1950,-99.99,-99.99,-99.99
27/09/1950,-99.99,-99.99,-99.99
28/09/1950,-99.99,-99.99,-99.99
29/09/1950,-99.99,-99.99,-99.99
30/09/1950,-99.99,-99.99,-99.99
1/10/1950,-99.99,-99.99,-99.99
2/10/1950,-99.99,-99.99,-99.99
3/10/1950,-99.99,-99.99,-99.99
4/10/1950,-99.99,-99.99,-99.99
5/10/1950,-99.99,-99.99,-99.99
6/10/1950,-99.99,-99.99,-99.99
7/10/1950,-99.99,-99.99,-99.99
8/10/1950,-99.99,-99.99,-99.99
9/10/1950,-99.99,-99.99,-99.99
10/10/1950,-99.99,-99.99,-99.99
11/10/1950,-99.99,-99.99,-99.99
12/10/1950,-99.99,-99.99,-99.99
13/10/1950,-99.99,-99.99,-99.99
14/10/1950,-99.99,-99.99,-99.99
15/10/1950,-99.99,-99.99,-99.99
16/10/1950,-99.99,-99.99,-99.99
17/10/1950,-99.99,-99.99,-99.99
18/10/1950,-99.99,-99.99,-99.99
19/10/1950,-99.99,-99.99,-99.99
20/10/1950,-99.99,-99.99,-99.99
21/10/1950,-99.99,-99.99,-99.99
22/10/1950,-99.99,-99.99,-99.99
23/10/1950,-99.99,-99.99,-99.99
24/10/1950,-99.99,-99.99,-99.99
25/10/1950,-99.99,-99.99,-99.99
26/10/1950,-99.99,-99.99,-99.99
27/10/1950,-99.99,-99.99,-99.99
28/10/1950,-99.99,-99.99,-99.99
29/10/1950,-99.99,-99.99,-99.99
30/10/1950,-99.99,-99.99,-99.99
31/10/1950,-99.99,-99.99,-99.99
1/11/1950,-99.99,-99.99,-99.99
2/11/1950,-99.99,-99.99,-99.99
3/11/1950,-99.99,-99.99,-99.99
4/11/1950,-99.99,-99.99,-99.99
5/11/1950,-99.99,-99.99,-99.99
6/11/1950,-99.99,-99.99,-99.99
7/11/1950,-99.99,-99.99,-99.99
8/11/1950,-99.99,-99.99,-99.99
9/11/1950,-99.99,-99.99,-99.99
10/11/1950,-99.99,-99.99,-99.99
11/11/1950,-99.99,-99.99,-99.99
12/11/1950,-99.99,-99.99,-99.99
